DEPTH,CALI,GR,ILD,ITT,LLD,LLS,MSFL,NPHI,RHOB,SFL,SP
1538.478,14.0639,52.0155,0.9614,0.1206,0.949,1.0556,1.1442,0.40285,2.2873,1.1647,38.1479
1538.6304,13.6714,52.0581,0.9577,0.1221,0.9254,1.037,1.1439,0.4009,2.2796,1.0975,38.1628
1538.7828,14.0986,51.4767,0.947,0.1242,0.9069,1.0119,1.1436,0.4161,2.265,1.0508,39.304
1538.9352,13.8654,50.747,0.9232,0.125,0.8613,0.9652,1.0412,0.4091,2.2461,1.0649,39.7651
1539.0876,13.5618,50.6355,0.8883,0.1249,0.8324,0.9305,1.0344,0.40855,2.2303,1.0906,39.6633
1539.24,14.104,50.524,0.8631,0.1248,0.8404,0.9378,1.0738,0.408,2.2343,1.1245,39.5615
1539.3924,14.010675,50.4125,0.8462,0.1246,0.8574,0.9569,1.2045,0.4131,2.2186,1.1075,39.4597
1539.5448,13.91735,50.301,0.8419,0.1245,0.8755,0.969,1.2643,0.4083,2.2253,1.0834,39.3579
1539.6972,13.824025,53.0069,0.8399,0.1257,0.8914,0.9582,1.2241,0.418,2.2446,1.0718,38.9531
1539.8496,13.7307,55.2527,0.8354,0.1279,0.867,0.9358,1.1354,0.415,2.2567,1.0525,38.5925
1540.002,13.7455,56.2485,0.828,0.129,0.831,0.9186,1.1365,0.4028,2.2701,1.0209,38.3143
1540.1544,13.8693,56.6525,0.8219,0.1291,0.8029,0.9074,1.1468,0.414,2.2815,0.9925,38.2841
1540.3068,14.0743,56.5204,0.8159,0.1295,0.7863,0.8985,1.1371,0.4288,2.273,0.9792,38.7203
1540.4592,14.0036,55.6295,0.811,0.129633333,0.7814,0.8858,1.1376,0.4209,2.2361,0.9891,39.3915
1540.6116,13.7151,55.1044,0.8095,0.129766667,0.7871,0.8818,1.1902,0.421533333,2.2278,1.024,39.6244
1540.764,13.9463,55.0248,0.8089,0.1299,0.7978,0.8906,1.1621,0.422166667,2.2173,1.0505,39.7073
1540.9164,14.2078,54.7466,0.8049,0.1278,0.811,0.9084,1.1576,0.4228,2.2027,1.07,39.704
1541.0688,14.1195,53.5683,0.7916,0.1271,0.8198,0.9102,1.1757,0.4274,2.1861,1.063,39.7007
1541.2212,14.0136,53.4744,0.7961,0.128,0.8205,0.9024,1.166,0.424833333,2.1898,1.0371,39.6974
1541.3736,13.9175,54.9741,0.8006,0.1278,0.8172,0.8941,1.1304,0.422266667,2.1935,1.0046,38.8667
1541.526,13.933325,56.541,0.8051,0.1287,0.81,0.8888,1.0662,0.4197,2.2039,0.9668,38.8533
1541.6784,13.94915,58.9932,0.8096,0.12894,0.8001,0.8824,1.083428571,0.4054,2.2059,0.96536,39.0395
1541.8308,13.964975,59.03633333,0.8141,0.12918,0.7861,0.8737,1.100657143,0.4132,2.2043,0.96392,38.0485
1541.9832,13.9808,59.07946667,0.8186,0.12942,0.79482,0.87118,1.117885714,0.421,2.2055,0.96248,38.197875
1542.1356,14.1499,59.1226,0.8514,0.12966,0.80354,0.86866,1.135114286,0.4271,2.1971,0.96104,38.34725
1542.288,13.8684,56.0635,0.8669,0.1299,0.81226,0.86614,1.152342857,0.4107,2.19804,0.9596,38.496625
1542.4404,14.0909,54.0316,0.8707,0.12914,0.82098,0.86362,1.169571429,0.4174,2.19898,1.1056,38.646
1542.5928,14.1021,53.0283,0.8883,0.12838,0.8297,0.8611,1.1868,0.4331,2.19992,1.08635,39.0784
1542.7452,14.1133,52.941,0.908,0.12762,0.83738,0.87444,1.174025,0.42645,2.20086,1.0671,39.1829
1542.8976,14.1245,53.2723,0.9085,0.12686,0.84506,0.88778,1.16125,0.4198,2.2018,1.04785,38.8925
1543.05,14.1357,55.4641,0.909,0.1261,0.85274,0.90112,1.148475,0.4218,2.2477,1.0286,38.5622
1543.2024,14.08378,57.6014,0.9095,0.1276,0.86042,0.91446,1.1357,0.4147,2.243983333,0.9805,38.3459
1543.3548,14.03186,58.0839,0.91,0.1291,0.8681,0.9278,1.0813,0.417,2.240266667,0.9737,38.9177
1543.5072,13.97994,58.4713,0.9105,0.1306,0.7869,0.8718,1.1315,0.4193,2.23655,1.009,39.754
1543.6596,13.92802,59.993,0.8759,0.1273,0.8084,0.8736,1.188,0.4216,2.232833333,1.0639,39.6684
1543.812,13.8761,59.8842,0.8697,0.126,0.8383,0.9175,1.1974,0.423125,2.229116667,1.1046,39.5828
1543.9644,13.7821,59.7754,0.8811,0.1254,0.8636,0.92212,1.1905,0.42465,2.2254,1.1068,39.4972
1544.1168,13.6313,59.6666,0.8919,0.1251,0.8865,0.92674,1.2292,0.426175,2.2284,1.109,39.4116
1544.2692,13.8011,59.5578,0.8909,0.12575,0.8846,0.93136,1.2833,0.4277,2.225,1.1112,39.326
1544.4216,13.655,59.449,0.8794,0.1264,0.8827,0.93598,1.2676,0.4171,2.2347,1.0536,39.2404
1544.574,13.7225,59.3402,0.8385,0.1287,0.8723,0.9406,1.177,0.4273,2.2473,0.9935,38.3575
1544.7264,13.7912,57.8367,0.7969,0.1298,0.8512,0.9015,1.0502,0.4285,2.2537,0.9594,38.2926
1544.8788,13.7712,56.7381,0.795933333,0.1297,0.8254,0.8907,1.0026,0.4092,2.2453,0.9536,38.2277
1545.0312,13.7706,56.2934,0.794966667,0.1294,0.8078,0.8735,0.9952,0.4179,2.2317,0.9484,38.1628
1545.1836,13.8788,56.5197,0.794,0.1299,0.8032,0.8518,1.0016,0.4335,2.2234,0.9433,38.5369
1545.336,13.99185,56.1331,0.8193,0.1303,0.8058,0.8474,1.0468,0.43125,2.2227,0.937,38.3456
1545.4884,14.1049,55.84386,0.8697,0.1304,0.8012,0.849,1.0905,0.429,2.2072,0.9249,37.9735
1545.6408,13.8367,55.55462,0.9066,0.1299,0.8022,0.856,1.1244,0.4054,2.21775,0.9596,38.3155
1545.7932,13.8272,55.26538,0.9272,0.128966667,0.8157,0.87,1.1922,0.410433333,2.2283,1.2565,38.6534
1545.9456,13.7986,54.97614,0.9528,0.128033333,0.846,0.9318,1.21148,0.415466667,2.249,1.22422,38.9653
1546.098,13.7341,54.6869,0.9908,0.1271,0.856233333,0.95076,1.23076,0.4205,2.2529,1.19194,39.1561
1546.2504,13.692,55.7563,0.991266667,0.126166667,0.866466667,0.96972,1.25004,0.423,2.2733,1.15966,39.3224
1546.4028,13.6558,57.2623,0.991733333,0.125233333,0.8767,0.98868,1.26932,0.4117,2.27465,1.12738,39.22075
1546.5552,13.743175,57.12302,0.9922,0.1243,0.886933333,1.00764,1.2886,0.4105,2.276,1.0951,39.1191
1546.7076,13.83055,56.98374,0.9259,0.1249,0.897166667,1.0266,1.1955,0.4093,2.27735,1.1119,38.2636
1546.86,13.917925,56.84446,0.8517,0.1244,0.9074,0.9232,1.1556,0.4081,2.2787,1.1425,38.51393333
1547.0124,14.0053,56.70518,0.8127,0.1244,0.8725,0.9051,1.1157,0.4069,2.28005,1.1067,38.76426667
1547.1648,13.9421,56.5659,0.8085,0.1284,0.8878,0.9346,1.0758,0.4115,2.2814,1.0153,39.0146
1547.3172,13.9335,55.8614,0.8119,0.1286,0.8979,0.9619,1.0359,0.4053,2.2342,1.02435,38.5191
